kanji,heisig_number,keyword,unicode_code_point
身,1337,somebody,08eab
射,1338,shoot,05c04
謝,1339,apologize,08b1d
老,1340,old man,08001
考,1341,consider,08003
孝,1342,filial piety,05b5d
教,1343,teach,06559
拷,1344,torture,062f7
者,1345,someone,08005
煮,1346,boil,0716e
著,1347,renowned,08457
箸,1348,chopsticks,07bb8
署,1349,signature,07f72
暑,1350,sultry,06691
諸,1351,various,08af8
猪,1352,boar,0732a
渚,1353,strand,06e1a
賭,1354,gamble,08ced
峡,1355,gorge,05ce1
狭,1356,cramped,072ed
挟,1357,sandwiched,0631f
頬,1358,cheek,0982c
追,1359,chase,08ffd
阜,1360,large hill,0961c
師,1361,expert,05e2b
帥,1362,commander,05e25
官,1363,bureaucrat,05b98
棺,1364,coffin,068fa
管,1365,pipe,07ba1
父,1366,father,07236
釜,1367,cauldron,091dc
交,1368,mingle,04ea4
効,1369,merit,052b9
較,1370,contrast,08f03
校,1371,exam,06821
足,1372,leg,08db3
促,1373,stimulate,04fc3
捉,1374,nab,06349
距,1375,long-distance,08ddd
路,1376,path,08def
露,1377,dew,09732
跳,1378,hop,08df3
躍,1379,leap,08e8d
践,1380,tread,08df5
踏,1381,step,08e0f
踪,1382,trail,08e2a
骨,1383,skeleton,09aa8
滑,1384,slippery,06ed1
髄,1385,marrow,09ac4
禍,1386,calamity,0798d
渦,1387,whirlpool,06e26
鍋,1388,pot,0934b
過,1389,overdo,0904e
