kanji,heisig_number,keyword,unicode_code_point
氏,1970,family name,06c0f
紙,1971,paper,07d19
婚,1972,marriage,05a5a
低,1973,lower,04f4e
抵,1974,resist,062b5
底,1975,bottom,05e95
民,1976,people,06c11
眠,1977,sleep,07720
捕,1978,catch,06355
哺,1979,suckle,054fa
浦,1980,bay,06d66
蒲,1981,bullrush,084b2
舗,1982,shop,08217
補,1983,supplement,088dc
邸,1984,residence,090b8
郭,1985,enclosure,090ed
郡,1986,county,090e1
郊,1987,outskirts,090ca
部,1988,section,090e8
都,1989,metropolis,090fd
郵,1990,mail,090f5
邦,1991,home country,090a6
那,1992,interrogative,090a3
郷,1993,hometown,090f7
響,1994,echo,097ff
郎,1995,son,090ce
廊,1996,corridor,05eca
