kanji,heisig_number,keyword,unicode_code_point
賠,515,compensation,08ce0
培,516,cultivate,057f9
剖,517,divide,05256
音,518,sound,097f3
暗,519,darkness,06697
韻,520,rhyme,097fb
識,521,discriminating,08b58
鏡,522,mirror,093e1
境,523,boundary,05883
亡,524,deceased,04ea1
盲,525,blind,076f2
妄,526,delusion,05984
荒,527,laid waste,08352
望,528,ambition,0671b
方,529,direction,065b9
妨,530,disturb,059a8
坊,531,boy,0574a
芳,532,perfumed,082b3
肪,533,obese,080aa
訪,534,call on,08a2a
放,535,set free,0653e
激,536,violent,06fc0
脱,537,undress,08131
説,538,explanation,08aac
鋭,539,pointed,092ed
曽,540,formerly,066fd
増,541,increase,05897
贈,542,presents,08d08
東,543,east,06771
棟,544,ridgepole,068df
凍,545,frozen,051cd
妊,546,pregnancy,0598a
廷,547,courts,05ef7
