kanji,heisig_number,keyword,unicode_code_point
馬,2132,horse,099ac
駒,2133,pony,099d2
験,2134,verification,09a13
騎,2135,equestrian,09a0e
駐,2136,parking,099d0
駆,2137,drive,099c6
駅,2138,station,099c5
騒,2139,boisterous,09a12
駄,2140,burdensome,099c4
驚,2141,wonder,09a5a
篤,2142,fervent,07be4
罵,2143,insult,07f75
騰,2144,inflation,09a30
虎,2145,tiger,0864e
虜,2146,captive,0865c
膚,2147,skin,0819a
虚,2148,void,0865a
戯,2149,frolic,0622f
虞,2150,uneasiness,0865e
慮,2151,prudence,0616e
劇,2152,drama,05287
虐,2153,tyrannize,08650
鹿,2154,deer,09e7f
麓,2155,foot of a mountain,09e93
薦,2156,recommend,085a6
慶,2157,jubilation,06176
麗,2158,lovely,09e97
熊,2159,bear,0718a
能,2160,ability,080fd
態,2161,attitude,0614b
