kanji,heisig_number,keyword,unicode_code_point
井,1946,well,04e95
丼,1947,donburi,04e3c
囲,1948,surround,056f2
耕,1949,till,08015
亜,1950,Asia,04e9c
悪,1951,bad,060aa
円,1952,circle,05186
角,1953,angle,089d2
触,1954,contact,089e6
解,1955,unravel,089e3
再,1956,again,0518d
講,1957,lecture,08b1b
購,1958,subscription,08cfc
構,1959,posture,069cb
溝,1960,gutter,06e9d
論,1961,argument,08ad6
倫,1962,ethics,0502b
輪,1963,wheel,08f2a
偏,1964,partial,0504f
遍,1965,everywhere,0904d
編,1966,compilation,07de8
冊,1967,tome,0518a
柵,1968,palisade,067f5
典,1969,code,05178
