kanji,heisig_number,keyword,unicode_code_point
施,1124,alms,065bd
旋,1125,rotation,065cb
遊,1126,play,0904a
旅,1127,trip,065c5
勿,1128,not,052ff
物,1129,thing,07269
易,1130,easy,06613
賜,1131,grant,08cdc
尿,1132,urine,05c3f
尼,1133,nun,05c3c
尻,1134,buttocks,05c3b
泥,1135,mud,06ce5
塀,1136,fence,05840
履,1137,footgear,05c65
屋,1138,roof,05c4b
握,1139,grip,063e1
屈,1140,yield,05c48
掘,1141,dig,06398
堀,1142,ditch,05800
居,1143,reside,05c45
据,1144,set,0636e
裾,1145,hem,088fe
層,1146,stratum,05c64
局,1147,bureau,05c40
遅,1148,slow,09045
漏,1149,leak,06f0f
刷,1150,printing,05237
尺,1151,shaku,05c3a
尽,1152,exhaust,05c3d
沢,1153,swamp,06ca2
訳,1154,translate,08a33
択,1155,choose,0629e
昼,1156,daytime,0663c
戸,1157,door,06238
肩,1158,shoulder,080a9
房,1159,tassel,0623f
扇,1160,fan,06247
炉,1161,hearth,07089
戻,1162,re-,0623b
涙,1163,tears,06d99
雇,1164,employ,096c7
顧,1165,look back,09867
啓,1166,disclose,05553
