kanji,heisig_number,keyword,unicode_code_point
人,1023,person,04eba
佐,1024,assistant,04f50
侶,1025,partner,04fb6
但,1026,however,04f46
住,1027,dwell,04f4f
位,1028,rank,04f4d
仲,1029,go-between,04ef2
体,1030,body,04f53
悠,1031,remote,060a0
件,1032,affair,04ef6
仕,1033,attend,04ed5
他,1034,other,04ed6
伏,1035,prostrated,04f0f
伝,1036,transmit,04f1d
仏,1037,Buddha,04ecf
休,1038,rest,04f11
仮,1039,provisional,04eee
伎,1040,performing artist,04f0e
伯,1041,chief,04f2f
俗,1042,vulgar,04fd7
信,1043,faith,04fe1
佳,1044,excellent,04f73
依,1045,reliant,04f9d
例,1046,example,04f8b
個,1047,individual,0500b
健,1048,healthy,05065
側,1049,side,05074
侍,1050,waiter,04f8d
停,1051,halt,0505c
値,1052,price,05024
倣,1053,emulate,05023
傲,1054,arrogance,050b2
倒,1055,overthrow,05012
偵,1056,spy,05075
僧,1057,Buddhist priest,050e7
億,1058,hundred million,05104
儀,1059,ceremony,05100
償,1060,reparation,0511f
仙,1061,hermit,04ed9
催,1062,sponsor,050ac
仁,1063,humanity,04ec1
侮,1064,scorn,04fae
使,1065,use,04f7f
便,1066,convenience,04fbf
倍,1067,double,0500d
優,1068,tenderness,0512a
伐,1069,fell,04f10
宿,1070,inn,05bbf
傷,1071,wound,050b7
保,1072,protect,04fdd
褒,1073,praise,08912
傑,1074,greatness,05091
付,1075,adhere,04ed8
符,1076,token,07b26
府,1077,municipality,05e9c
任,1078,responsibility,04efb
賃,1079,fare,08cc3
代,1080,substitute,04ee3
袋,1081,sack,0888b
貸,1082,lend,08cb8
化,1083,change,05316
花,1084,flower,082b1
貨,1085,freight,08ca8
傾,1086,lean,050be
何,1087,what,04f55
荷,1088,baggage,08377
俊,1089,sagacious,04fca
傍,1090,bystander,0508d
俺,1091,myself,04ffa
久,1092,long time,04e45
畝,1093,furrow,0755d
囚,1094,captured,056da
内,1095,inside,05185
丙,1096,third class,04e19
柄,1097,design,067c4
肉,1098,meat,08089
腐,1099,rot,08150
座,1100,sit,05ea7
挫,1101,sprain,0632b
卒,1102,graduate,05352
傘,1103,umbrella,05098
