kanji,heisig_number,keyword,unicode_code_point
組,1914,association,07d44
粗,1915,coarse,07c97
租,1916,tariff,079df
狙,1917,aim at,072d9
祖,1918,ancestor,07956
阻,1919,thwart,0963b
査,1920,investigate,067fb
助,1921,help,052a9
宜,1922,best regards,05b9c
畳,1923,tatami mat,07573
並,1924,row,04e26
普,1925,universal,0666e
譜,1926,musical score,08b5c
湿,1927,damp,06e7f
顕,1928,appear,09855
繊,1929,slender,07e4a
霊,1930,spirits,0970a
業,1931,profession,0696d
撲,1932,slap,064b2
僕,1933,me,050d5
共,1934,together,05171
供,1935,submit,04f9b
異,1936,uncommon,07570
翼,1937,wing,07ffc
戴,1938,accept humbly,06234
洪,1939,deluge,06d2a
港,1940,harbor,06e2f
暴,1941,outburst,066b4
爆,1942,bomb,07206
恭,1943,respect,0606d
選,1944,elect,09078
殿,1945,Mr.,06bbf
