kanji,heisig_number,keyword,unicode_code_point
出,829,exit,051fa
山,830,mountain,05c71
拙,831,bungling,062d9
岩,832,boulder,05ca9
炭,833,charcoal,070ad
岐,834,branch off,05c90
峠,835,mountain pass,05ce0
崩,836,crumble,05d29
密,837,secrecy,05bc6
蜜,838,honey,0871c
嵐,839,storm,05d50
崎,840,promontory,05d0e
崖,841,bluffs,05d16
入,842,enter,05165
込,843,crowded,08fbc
分,844,part,05206
貧,845,poverty,08ca7
頒,846,partition,09812
公,847,public,0516c
松,848,pine tree,0677e
翁,849,venerable old man,07fc1
訟,850,sue,08a1f
谷,851,valley,08c37
浴,852,bathe,06d74
容,853,contain,05bb9
溶,854,melt,06eb6
欲,855,longing,06b32
裕,856,abundant,088d5
鉛,857,lead (metal),0925b
沿,858,run alongside,06cbf
