kanji,heisig_number,keyword,unicode_code_point
却,1497,instead,05374
脚,1498,shins,0811a
卸,1499,wholesale,05378
御,1500,honorable,05fa1
服,1501,clothing,0670d
命,1502,fate,0547d
令,1503,orders,04ee4
零,1504,zero,096f6
齢,1505,age,09f62
冷,1506,cool,051b7
領,1507,jurisdiction,09818
鈴,1508,small bell,09234
勇,1509,courage,052c7
湧,1510,bubble up,06e67
通,1511,traffic,0901a
踊,1512,jump,08e0a
疑,1513,doubt,07591
擬,1514,mimic,064ec
凝,1515,congeal,051dd
範,1516,pattern,07bc4
犯,1517,crime,072af
氾,1518,widespread,06c3e
厄,1519,unlucky,05384
危,1520,dangerous,05371
宛,1521,address,05b9b
腕,1522,arm,08155
苑,1523,garden,082d1
怨,1524,grudge,06028
柳,1525,willow,067f3
卵,1526,egg,05375
留,1527,detain,07559
瑠,1528,marine blue,07460
貿,1529,trade,08cbf
印,1530,stamp,05370
臼,1531,mortar,081fc
毀,1532,break,06bc0
興,1533,entertain,08208
