kanji,heisig_number,keyword,unicode_code_point
賞,859,prize,08cde
党,860,party,0515a
堂,861,hall,05802
常,862,usual,05e38
裳,863,skirt,088f3
掌,864,manipulate,0638c
皮,865,pelt,076ae
波,866,waves,06ce2
婆,867,old woman,05a46
披,868,expose,062ab
破,869,rend,07834
被,870,incur,088ab
残,871,remainder,06b8b
殉,872,martyrdom,06b89
殊,873,particularly,06b8a
殖,874,augment,06b96
列,875,file,05217
裂,876,split,088c2
烈,877,ardent,070c8
死,878,death,06b7b
葬,879,interment,0846c
瞬,880,wink,077ac
耳,881,ear,08033
取,882,take,053d6
趣,883,gist,08da3
最,884,utmost,06700
撮,885,snapshot,064ae
恥,886,shame,06065
職,887,post,08077
聖,888,holy,08056
敢,889,daring,06562
聴,890,listen,08074
懐,891,pocket,061d0
慢,892,ridicule,06162
漫,893,loose,06f2b
買,894,buy,08cb7
置,895,placement,07f6e
罰,896,penalty,07f70
寧,897,rather,05be7
濁,898,voiced,06fc1
環,899,ring,074b0
還,900,send back,09084
夫,901,husband,0592b
扶,902,aid,06276
渓,903,mountain stream,06e13
規,904,standard,0898f
替,905,exchange,066ff
賛,906,approve,08cdb
潜,907,submerge,06f5c
失,908,lose,05931
鉄,909,iron,09244
迭,910,alternate,08fed
臣,911,retainer,081e3
姫,912,princess,059eb
蔵,913,storehouse,08535
臓,914,entrails,081d3
賢,915,intelligent,08ce2
腎,916,kidney,0814e
堅,917,strict,05805
臨,918,look to,081e8
覧,919,perusal,089a7
巨,920,gigantic,05de8
拒,921,repel,062d2
力,922,power,0529b
男,923,man,07537
労,924,labor,052b4
募,925,recruit,052df
劣,926,inferiority,052a3
功,927,achievement,0529f
勧,928,persuade,052e7
努,929,toil,052aa
勃,930,uprising,052c3
励,931,encourage,052b1
加,932,add,052a0
賀,933,congratulations,08cc0
架,934,erect,067b6
脇,935,armpit,08107
脅,936,threaten,08105
協,937,co-,05354
行,938,going,0884c
律,939,rhythm,05f8b
復,940,restore,05fa9
得,941,gain,05f97
従,942,accompany,05f93
徒,943,junior,05f92
待,944,wait,05f85
往,945,journey,05f80
征,946,subjugate,05f81
径,947,diameter,05f84
彼,948,he,05f7c
役,949,duty,05f79
徳,950,benevolence,05fb3
徹,951,penetrate,05fb9
徴,952,indications,05fb4
懲,953,penal,061f2
微,954,delicate,05fae
街,955,boulevard,08857
桁,956,girder,06841
衡,957,equilibrium,08861
