kanji,heisig_number,keyword,unicode_code_point
繭,2025,cocoon,07e6d
益,2026,benefit,076ca
暇,2027,spare time,06687
敷,2028,spread,06577
来,2029,come,06765
気,2030,spirit,06c17
汽,2031,vapor,06c7d
飛,2032,fly,098db
沈,2033,sink,06c88
枕,2034,pillow,06795
妻,2035,wife,059bb
凄,2036,nifty,051c4
衰,2037,decline,08870
衷,2038,inmost,08877
面,2039,mask,09762
麺,2040,noodles,09eba
革,2041,leather,09769
靴,2042,shoes,09774
覇,2043,hegemony,08987
声,2044,voice,058f0
眉,2045,eyebrow,07709
呉,2046,give,05449
娯,2047,recreation,05a2f
誤,2048,mistake,08aa4
蒸,2049,steam,084b8
承,2050,acquiesce,0627f
函,2051,bin,051fd
極,2052,poles,06975
