kanji,heisig_number,keyword,unicode_code_point
冗,321,superfluous,05197
冥,322,Hades,051a5
軍,323,army,08ecd
輝,324,radiance,08f1d
運,325,carry,0904b
冠,326,crown,051a0
夢,327,dream,05922
坑,328,pit,05751
高,329,tall,09ad8
享,330,receive,04eab
塾,331,cram school,0587e
熟,332,mellow,0719f
亭,333,pavilion,04ead
京,334,capital,04eac
涼,335,refreshing,06dbc
景,336,scenery,0666f
鯨,337,whale,09be8
舎,338,cottage,0820e
周,339,circumference,05468
週,340,week,09031
士,341,gentleman,058eb
吉,342,good luck,05409
壮,343,robust,058ee
荘,344,villa,08358
売,345,sell,058f2
