kanji,heisig_number,keyword,unicode_code_point
昔,1268,once upon a time,06614
錯,1269,confused,0932f
借,1270,borrow,0501f
惜,1271,pity,060dc
措,1272,set aside,063aa
散,1273,scatter,06563
廿,1274,twenty,05eff
庶,1275,commoner,05eb6
遮,1276,intercept,0906e
席,1277,seat,05e2d
度,1278,degrees,05ea6
渡,1279,transit,06e21
奔,1280,bustle,05954
噴,1281,erupt,05674
墳,1282,tomb,058b3
憤,1283,aroused,061a4
焼,1284,bake,0713c
暁,1285,daybreak,06681
半,1286,half,0534a
伴,1287,consort,04f34
畔,1288,paddy ridge,07554
判,1289,judgment,05224
拳,1290,fist,062f3
券,1291,ticket,05238
巻,1292,scroll,05dfb
圏,1293,sphere,0570f
勝,1294,victory,052dd
藤,1295,wisteria,085e4
謄,1296,facsimilie,08b04
片,1297,one-sided,07247
版,1298,printing block,07248
之,1299,of,04e4b
乏,1300,destitution,04e4f
芝,1301,turf,0829d
不,1302,negative,04e0d
否,1303,negate,05426
杯,1304,cupfuls,0676f
