kanji,heisig_number,keyword,unicode_code_point
平,1596,even,05e73
呼,1597,call,0547c
坪,1598,two-mat area,0576a
評,1599,evaluate,08a55
刈,1600,reap,05208
刹,1601,moment,05239
希,1602,hope,05e0c
凶,1603,villain,051f6
胸,1604,bosom,080f8
離,1605,detach,096e2
璃,1606,crystal,07483
殺,1607,kill,06bba
爽,1608,bracing,0723d
純,1609,genuine,07d14
頓,1610,immediate,09813
鈍,1611,dull,0920d
辛,1612,spicy,08f9b
辞,1613,resign,08f9e
梓,1614,catalpa,06893
宰,1615,superintend,05bb0
壁,1616,wall,058c1
璧,1617,holed gem,074a7
避,1618,evade,0907f
新,1619,new,065b0
薪,1620,firewood,085aa
親,1621,parent,089aa
幸,1622,happiness,05e78
執,1623,tenacious,057f7
摯,1624,clasp,0646f
報,1625,report,05831
叫,1626,shout,053eb
糾,1627,twist,07cfe
収,1628,income,053ce
卑,1629,lowly,05351
碑,1630,tombstone,07891
陸,1631,land,09678
睦,1632,intimate,07766
勢,1633,forces,052e2
熱,1634,heat,071b1
菱,1635,diamond,083f1
陵,1636,mausoleum,09675
亥,1637,sign of the hog,04ea5
核,1638,nucleus,06838
刻,1639,engrave,0523b
該,1640,above-stated,08a72
骸,1641,remains,09ab8
劾,1642,censure,052be
述,1643,mention,08ff0
術,1644,art,08853
寒,1645,cold,05bd2
塞,1646,block up,0585e
醸,1647,brew,091b8
譲,1648,defer,08b72
壌,1649,lot,058cc
嬢,1650,lass,05b22
