kanji,heisig_number,keyword,unicode_code_point
手,687,hand,0624b
看,688,watch over,0770b
摩,689,chafe,06469
我,690,ego,06211
義,691,righteousness,07fa9
議,692,deliberation,08b70
犠,693,sacrifice,072a0
抹,694,rub,062b9
拭,695,wipe,062ed
拉,696,yank,062c9
抱,697,embrace,062b1
搭,698,board,0642d
抄,699,extract,06284
抗,700,confront,06297
批,701,criticism,06279
招,702,beckon,062db
拓,703,clear the land,062d3
拍,704,clap,062cd
打,705,strike,06253
拘,706,arrest,062d8
捨,707,discard,06368
拐,708,kidnap,062d0
摘,709,pinch,06458
挑,710,challenge,06311
指,711,finger,06307
持,712,hold,06301
拶,713,imminent,062f6
括,714,fasten,062ec
揮,715,brandish,063ee
推,716,conjecture,063a8
揚,717,hoist,063da
提,718,propose,063d0
損,719,damage,0640d
拾,720,pick up,062fe
担,721,shouldering,062c5
拠,722,foothold,062e0
描,723,sketch,063cf
操,724,maneuver,064cd
接,725,touch,063a5
掲,726,put up a notice,063b2
掛,727,hang,0639b
捗,728,make headway,06357
研,729,polish,07814
戒,730,commandment,06212
弄,731,tinker with,05f04
械,732,contraption,068b0
鼻,733,nose,09f3b
刑,734,punish,05211
型,735,mould,0578b
才,736,genius,0624d
財,737,property,08ca1
材,738,lumber,06750
存,739,suppose,05b58
在,740,exist,05728
乃,741,from,04e43
携,742,portable,0643a
及,743,reach out,053ca
吸,744,suck,05438
扱,745,handle,06271
丈,746,length,04e08
史,747,history,053f2
吏,748,officer,0540f
更,749,grow late,066f4
硬,750,stiff,0786c
梗,751,spiny,06897
又,752,or again,053c8
双,753,pair,053cc
桑,754,mulberry,06851
隻,755,vessels,096bb
護,756,safeguard,08b77
獲,757,seize,07372
奴,758,guy,05974
怒,759,angry,06012
友,760,friend,053cb
抜,761,slip out,0629c
投,762,throw,06295
没,763,drown,06ca1
股,764,thigh,080a1
設,765,establishment,08a2d
撃,766,beat,06483
殻,767,husk,06bbb
支,768,branch,0652f
技,769,skill,06280
枝,770,bough,0679d
肢,771,limb,080a2
茎,772,stalk,0830e
怪,773,suspicious,0602a
軽,774,lightly,08efd
叔,775,uncle,053d4
督,776,coach,07763
寂,777,loneliness,05bc2
淑,778,graceful,06dd1
反,779,anti-,053cd
坂,780,slope,05742
板,781,plank,0677f
返,782,return,08fd4
販,783,marketing,08ca9
爪,784,claw,0722a
妥,785,gentle,059a5
乳,786,milk,04e73
浮,787,floating,06d6e
淫,788,lewd,06deb
将,789,leader,05c06
奨,790,exhort,05968
采,791,grab,091c7
採,792,pick,063a1
菜,793,vegetable,083dc
受,794,accept,053d7
授,795,impart,06388
愛,796,love,0611b
曖,797,unclear,066d6
払,798,pay,06255
広,799,wide,05e83
勾,800,hooked,052fe
拡,801,broaden,062e1
鉱,802,mineral,09271
弁,803,valve,05f01
雄,804,male,096c4
台,805,pedestal,053f0
怠,806,neglect,06020
治,807,reign,06cbb
冶,808,metallurgy,051b6
始,809,commence,059cb
胎,810,womb,080ce
窓,811,window,07a93
去,812,gone,053bb
法,813,method,06cd5
会,814,meeting,04f1a
至,815,climax,081f3
室,816,room,05ba4
到,817,arrival,05230
致,818,doth,081f4
互,819,mutually,04e92
棄,820,abandon,068c4
育,821,bring up,080b2
撤,822,remove,064a4
充,823,allot,05145
銃,824,gun,09283
硫,825,sulfur,0786b
流,826,current,06d41
允,827,license,05141
唆,828,tempt,05506
