kanji,heisig_number,keyword,unicode_code_point
稿,958,draft,07a3f
稼,959,earnings,07a3c
程,960,extent,07a0b
税,961,tax,07a0e
稚,962,immature,07a1a
和,963,harmony,0548c
移,964,shift,079fb
秒,965,second,079d2
秋,966,autumn,079cb
愁,967,distress,06101
私,968,private,079c1
秩,969,regularity,079e9
秘,970,secret,079d8
称,971,appellation,079f0
利,972,profit,05229
梨,973,pear tree,068a8
穫,974,harvest,07a6b
穂,975,ear of a plant,07a42
稲,976,rice plant,07a32
香,977,incense,09999
季,978,seasons,05b63
委,979,committee,059d4
秀,980,excel,079c0
透,981,transparent,0900f
誘,982,entice,08a98
稽,983,training,07a3d
穀,984,cereals,07a40
菌,985,germ,083cc
萎,986,numb,0840e
米,987,rice,07c73
粉,988,flour,07c89
粘,989,sticky,07c98
粒,990,grains,07c92
粧,991,cosmetics,07ca7
迷,992,astray,08ff7
粋,993,chic,07c8b
謎,994,riddle,08b0e
糧,995,provisions,07ce7
菊,996,chrysanthemum,083ca
奥,997,core,05965
数,998,number,06570
楼,999,watchtower,0697c
類,1000,sort,0985e
漆,1001,lacquer,06f06
膝,1002,knee,0819d
様,1003,Esq.,069d8
求,1004,request,06c42
球,1005,ball,07403
救,1006,salvation,06551
竹,1007,bamboo,07af9
笑,1008,laugh,07b11
笠,1009,bamboo hat,07b20
笹,1010,bamboo grass,07b39
箋,1011,stationery,07b8b
筋,1012,muscle,07b4b
箱,1013,box,07bb1
筆,1014,writing brush,07b46
筒,1015,cylinder,07b52
等,1016,etc.,07b49
算,1017,calculate,07b97
答,1018,solution,07b54
策,1019,scheme,07b56
簿,1020,register,07c3f
築,1021,fabricate,07bc9
篭,1022,basket,07bed
