kanji,heisig_number,keyword,unicode_code_point
巣,2077,nest,05de3
単,2078,simple,05358
戦,2079,war,06226
禅,2080,Zen,07985
弾,2081,bullet,05f3e
桜,2082,cherry tree,0685c
獣,2083,animal,07363
脳,2084,brain,08133
悩,2085,trouble,060a9
厳,2086,stern,053b3
鎖,2087,chain,09396
挙,2088,raise,06319
誉,2089,reputation,08a89
猟,2090,game hunting,0731f
鳥,2091,bird,09ce5
鳴,2092,chirp,09cf4
鶴,2093,crane,09db4
烏,2094,crow,070cf
蔦,2095,vine,08526
鳩,2096,pigeon,09ce9
鶏,2097,chicken,09d8f
島,2098,island,05cf6
暖,2099,warmth,06696
媛,2100,beautiful woman,05a9b
援,2101,abet,063f4
緩,2102,slacken,07de9
属,2103,belong,05c5e
嘱,2104,entrust,05631
偶,2105,accidentally,05076
遇,2106,interview,09047
愚,2107,foolish,0611a
隅,2108,corner,09685
逆,2109,inverted,09006
塑,2110,model,05851
遡,2111,go upstream,09061
岡,2112,Mount,05ca1
鋼,2113,steel,092fc
綱,2114,hawser,07db1
剛,2115,sturdy,0525b
缶,2116,tin can,07f36
陶,2117,pottery,09676
揺,2118,swing,063fa
謡,2119,Noh chanting,08b21
鬱,2120,gloom,09b31
就,2121,concerning,05c31
蹴,2122,kick,08e74
懇,2123,sociable,061c7
墾,2124,groundbreaking,058be
貌,2125,countenance,08c8c
免,2126,excuse,0514d
逸,2127,elude,09038
晩,2128,nightfall,06669
勉,2129,exertion,052c9
象,2130,elephant,08c61
像,2131,statue,050cf
