kanji,heisig_number,keyword,unicode_code_point
示,1167,show,0793a
礼,1168,salutation,0793c
祥,1169,auspicious,07965
祝,1170,celebrate,0795d
福,1171,blessing,0798f
祉,1172,welfare,07949
社,1173,company,0793e
視,1174,inspection,08996
奈,1175,Nara,05948
尉,1176,military officer,05c09
慰,1177,consolation,06170
款,1178,goodwill,06b3e
禁,1179,prohibition,07981
襟,1180,collar,0895f
宗,1181,religion,05b97
崇,1182,adore,05d07
祭,1183,ritual,0796d
察,1184,guess,05bdf
擦,1185,grate,064e6
由,1186,wherefore,07531
抽,1187,pluck,062bd
油,1188,oil,06cb9
袖,1189,sleeve,08896
宙,1190,mid-air,05b99
届,1191,deliver,05c4a
笛,1192,flute,07b1b
軸,1193,axis,08ef8
甲,1194,armor,07532
押,1195,push,062bc
岬,1196,headland,05cac
挿,1197,insert,0633f
申,1198,speaketh,07533
伸,1199,expand,04f38
神,1200,gods,0795e
捜,1201,search,0635c
果,1202,fruit,0679c
菓,1203,confectionary,083d3
課,1204,chapter,08ab2
裸,1205,naked,088f8
