kanji,heisig_number,keyword,unicode_code_point
毒,1651,poison,06bd2
素,1652,elementary,07d20
麦,1653,barley,09ea6
青,1654,blue,09752
精,1655,refined,07cbe
請,1656,solicit,08acb
情,1657,feelings,060c5
晴,1658,clear up,06674
清,1659,pure,06e05
静,1660,quiet,09759
責,1661,blame,08cac
績,1662,exploits,07e3e
積,1663,volume,07a4d
債,1664,bond,050b5
漬,1665,pickling,06f2c
表,1666,surface,08868
俵,1667,bag,04ff5
潔,1668,undefiled,06f54
契,1669,pledge,05951
喫,1670,consume,055ab
害,1671,harm,05bb3
轄,1672,control,08f44
割,1673,proportion,05272
憲,1674,constitution,061b2
生,1675,life,0751f
星,1676,star,0661f
醒,1677,awakening,09192
姓,1678,surname,059d3
性,1679,sex,06027
牲,1680,animal sacrifice,07272
産,1681,products,07523
隆,1682,hump,09686
峰,1683,summit,05cf0
蜂,1684,bee,08702
縫,1685,sew,07e2b
拝,1686,worship,062dd
寿,1687,longevity,05bff
鋳,1688,casting,092f3
籍,1689,enroll,07c4d
春,1690,springtime,06625
椿,1691,camellia,0693f
泰,1692,peaceful,06cf0
奏,1693,play music,0594f
実,1694,reality,05b9f
奉,1695,dedicate,05949
俸,1696,stipend,04ff8
棒,1697,rod,068d2
謹,1698,discreet,08b39
僅,1699,trifle,050c5
勤,1700,diligence,052e4
漢,1701,Sino-,06f22
嘆,1702,sigh,05606
難,1703,difficult,096e3
華,1704,splendor,083ef
垂,1705,droop,05782
唾,1706,saliva,0553e
睡,1707,drowsy,07761
錘,1708,spindle,09318
乗,1709,ride,04e57
剰,1710,surplus,05270
