kanji,heisig_number,keyword,unicode_code_point
糸,1431,thread,07cf8
織,1432,weave,07e54
繕,1433,darning,07e55
縮,1434,shrink,07e2e
繁,1435,luxuriant,07e41
縦,1436,vertical,07e26
緻,1437,fine,07dfb
線,1438,line,07dda
綻,1439,come apart at the seams,07dbb
締,1440,tighten,07de0
維,1441,fiber,07dad
羅,1442,gauze,07f85
練,1443,practice,07df4
緒,1444,thong,07dd2
続,1445,continue,07d9a
絵,1446,picture,07d75
統,1447,overall,07d71
絞,1448,strangle,07d5e
給,1449,salary,07d66
絡,1450,entwine,07d61
結,1451,tie,07d50
終,1452,end,07d42
級,1453,class,07d1a
紀,1454,chronicle,07d00
紅,1455,crimson,07d05
納,1456,settlement,07d0d
紡,1457,spinning,07d21
紛,1458,distract,07d1b
紹,1459,introduce,07d39
経,1460,sutra,07d4c
紳,1461,sire,07d33
約,1462,promise,07d04
細,1463,dainty,07d30
累,1464,accumulate,07d2f
索,1465,cord,07d22
総,1466,general,07dcf
綿,1467,cotton,07dbf
絹,1468,silk,07d79
繰,1469,winding,07e70
継,1470,inherit,07d99
緑,1471,green,07dd1
縁,1472,affinity,07e01
網,1473,netting,07db2
緊,1474,tense,07dca
紫,1475,purple,07d2b
縛,1476,truss,07e1b
縄,1477,straw rope,07e04
幼,1478,infancy,05e7c
後,1479,behind,05f8c
幽,1480,faint,05e7d
幾,1481,how many,05e7e
機,1482,mechanism,06a5f
畿,1483,capital suburbs,0757f
玄,1484,mysterious,07384
畜,1485,livestock,0755c
蓄,1486,amass,084c4
弦,1487,bowstring,05f26
擁,1488,hug,064c1
滋,1489,nourishing,06ecb
慈,1490,mercy,06148
磁,1491,magnet,078c1
系,1492,lineage,07cfb
係,1493,person in charge,04fc2
孫,1494,grandchild,05b6b
懸,1495,suspend,061f8
遜,1496,modest,0905c
