kanji,heisig_number,keyword,unicode_code_point
地,554,ground,05730
池,555,pond,06c60
虫,556,insect,0866b
蛍,557,lightning bug,086cd
蛇,558,snake,086c7
虹,559,rainbow,08679
蝶,560,butterfly,08776
独,561,single,072ec
蚕,562,silkworm,08695
風,563,wind,098a8
己,564,self,05df1
起,565,rouse,08d77
妃,566,queen,05983
改,567,reformation,06539
記,568,scribe,08a18
包,569,wrap,05305
胞,570,placenta,080de
砲,571,cannon,07832
泡,572,bubble,06ce1
亀,573,tortoise,04e80
電,574,electricity,096fb
竜,575,dragon,07adc
滝,576,waterfall,06edd
豚,577,pork,08c5a
逐,578,pursue,09010
遂,579,consummate,09042
家,580,house,05bb6
嫁,581,marry into,05ac1
豪,582,overpowering,08c6a
腸,583,intestines,08178
場,584,location,05834
湯,585,hot water,06e6f
羊,586,sheep,07f8a
美,587,beauty,07f8e
洋,588,ocean,06d0b
詳,589,detailed,08a73
鮮,590,fresh,09bae
達,591,accomplished,09054
羨,592,envious,07fa8
差,593,distinction,05dee
着,594,don,07740
唯,595,solely,0552f
堆,596,piled high,05806
椎,597,sweet oak,0690e
誰,598,who?,08ab0
焦,599,char,07126
礁,600,reef,07901
集,601,gather,096c6
准,602,quasi-,051c6
進,603,advance,09032
雑,604,miscellaneous,096d1
雌,605,female,096cc
準,606,semi-,06e96
奮,607,stirred up,0596e
奪,608,rob,0596a
確,609,assurance,078ba
午,610,noon,05348
許,611,permit,08a31
歓,612,delight,06b53
権,613,authority,06a29
観,614,outlook,089b3
羽,615,feathers,07fbd
習,616,learn,07fd2
翌,617,the following,07fcc
曜,618,weekday,066dc
濯,619,laundry,06fef
