kanji,heisig_number,keyword,unicode_code_point
小,110,little,05c0f
少,111,few,05c11
大,112,large,05927
多,113,many,0591a
夕,114,evening,05915
汐,115,eventide,06c50
外,116,outside,05916
名,117,name,0540d
石,118,stone,077f3
肖,119,resemblance,08096
硝,120,nitrate,0785d
砕,121,smash,07815
砂,122,sand,07802
妬,123,jealous,059ac
削,124,plane,0524a
光,125,ray,05149
太,126,plump,0592a
器,127,utensil,05668
臭,128,stinking,081ed
嗅,129,sniff,055c5
妙,130,exquisite,05999
省,131,focus,07701
厚,132,thick,0539a
奇,133,strange,05947
