kanji,heisig_number,keyword,unicode_code_point
病,1813,ill,075c5
痴,1814,stupid,075f4
痘,1815,pox,075d8
症,1816,symptoms,075c7
瘍,1817,carbuncle,0760d
痩,1818,lose weight,075e9
疾,1819,rapidly,075be
嫉,1820,envy,05ac9
痢,1821,diarrhea,075e2
痕,1822,scar,075d5
疲,1823,tired,075b2
疫,1824,epidemic,075ab
痛,1825,pain,075db
癖,1826,mannerism,07656
匿,1827,hide,0533f
匠,1828,artisan,05320
医,1829,doctor,0533b
匹,1830,equal,05339
区,1831,ward,0533a
枢,1832,hinge,067a2
殴,1833,assault,06bb4
欧,1834,Europe,06b27
抑,1835,repress,06291
仰,1836,faceup,04ef0
迎,1837,welcome,08fce
登,1838,ascend,0767b
澄,1839,lucidity,06f84
発,1840,discharge,0767a
廃,1841,abolish,05ec3
僚,1842,colleague,050da
瞭,1843,obvious,077ad
寮,1844,dormitory,05bee
療,1845,heal,07642
