kanji,heisig_number,keyword,unicode_code_point
曰,620,sayeth,066f0
困,621,quandary,056f0
固,622,harden,056fa
錮,623,weld,0932e
国,624,country,056fd
団,625,group,056e3
因,626,cause,056e0
姻,627,matrimony,059fb
咽,628,windpipe,054bd
園,629,park,05712
回,630,-times,056de
壇,631,podium,058c7
店,632,store,05e97
庫,633,warehouse,05eab
庭,634,courtyard,05ead
庁,635,government office,05e81
床,636,bed,05e8a
麻,637,hemp,09ebb
磨,638,grind,078e8
心,639,heart,05fc3
忘,640,forget,05fd8
恣,641,selfish,06063
忍,642,endure,05fcd
認,643,acknowledge,08a8d
忌,644,mourning,05fcc
志,645,intention,05fd7
誌,646,document,08a8c
芯,647,wick,082af
忠,648,loyalty,05fe0
串,649,shish kebab,04e32
患,650,afflicted,060a3
思,651,think,0601d
恩,652,grace,06069
応,653,apply,05fdc
意,654,idea,0610f
臆,655,cowardice,081c6
想,656,concept,060f3
息,657,breath,0606f
憩,658,recess,061a9
恵,659,favor,06075
恐,660,fear,06050
惑,661,beguile,060d1
感,662,emotion,0611f
憂,663,melancholy,06182
寡,664,widow,05be1
忙,665,busy,05fd9
悦,666,ecstasy,060a6
恒,667,constancy,06052
悼,668,lament,060bc
悟,669,enlightenment,0609f
怖,670,dreadful,06016
慌,671,disconcerted,0614c
悔,672,repent,06094
憎,673,hate,0618e
慣,674,accustomed,06163
愉,675,pleasure,06109
惰,676,lazy,060f0
慎,677,humility,0614e
憾,678,remorse,061be
憶,679,recollection,061b6
惧,680,disquieting,060e7
憧,681,yearn,061a7
憬,682,hanker,061ac
慕,683,pining,06155
添,684,annexed,06dfb
必,685,invariably,05fc5
泌,686,ooze,06ccc
