kanji,heisig_number,keyword,unicode_code_point
川,134,stream,05ddd
州,135,state,05dde
順,136,obey,09806
水,137,water,06c34
氷,138,icicle,06c37
永,139,eternity,06c38
泉,140,spring,06cc9
腺,141,gland,0817a
原,142,meadow,0539f
願,143,petition,09858
泳,144,swim,06cf3
沼,145,marsh,06cbc
沖,146,open sea,06c96
汎,147,pan-,06c4e
江,148,creek,06c5f
汰,149,cleanse,06c70
汁,150,soup,06c41
沙,151,grains of sand,06c99
潮,152,tide,06f6e
源,153,source,06e90
活,154,lively,06d3b
消,155,extinguish,06d88
況,156,but of course,06cc1
河,157,river,06cb3
泊,158,overnight,06cca
湖,159,lake,06e56
測,160,fathom,06e2c
土,161,soil,0571f
吐,162,spit,05410
圧,163,pressure,05727
埼,164,cape,057fc
垣,165,hedge,057a3
填,166,inlay,0586b
圭,167,squared jewel,0572d
封,168,seal,05c01
涯,169,horizon,06daf
寺,170,Buddhist temple,05bfa
時,171,time,06642
均,172,level,05747
火,173,fire,0706b
炎,174,inflammation,0708e
煩,175,anxiety,07169
淡,176,thin,06de1
灯,177,lamp,0706f
畑,178,farm,07551
災,179,disaster,0707d
灰,180,ashes,07070
点,181,spot,070b9
照,182,illuminate,07167
魚,183,fish,09b5a
漁,184,fishing,06f01
