kanji,heisig_number,keyword,unicode_code_point
衣,423,garment,08863
裁,424,tailor,088c1
装,425,attire,088c5
裏,426,back,088cf
壊,427,demolition,058ca
哀,428,pathetic,054c0
遠,429,distant,09060
猿,430,monkey,0733f
初,431,first time,0521d
巾,432,towel,05dfe
布,433,linen,05e03
帆,434,sail,05e06
幅,435,hanging scroll,05e45
帽,436,cap,05e3d
幕,437,curtain,05e55
幌,438,canopy,05e4c
錦,439,brocade,09326
市,440,market,05e02
柿,441,persimmon,067ff
姉,442,elder sister,059c9
肺,443,lungs,080ba
帯,444,sash,05e2f
滞,445,stagnate,06ede
刺,446,thorn,0523a
制,447,system,05236
製,448,made in...,088fd
転,449,revolve,08ee2
芸,450,technique,082b8
雨,451,rain,096e8
雲,452,cloud,096f2
曇,453,cloudy weather,066c7
雷,454,thunder,096f7
霜,455,frost,0971c
冬,456,winter,051ac
天,457,heavens,05929
妖,458,bewitched,05996
沃,459,irrigate,06c83
橋,460,bridge,06a4b
嬌,461,attractive,05b0c
立,462,stand up,07acb
泣,463,cry,06ce3
章,464,badge,07ae0
競,465,vie,07af6
帝,466,sovereign,05e1d
諦,467,renunciation,08ae6
童,468,juvenile,07ae5
瞳,469,pupil,077b3
鐘,470,bell,09418
商,471,make a deal,05546
嫡,472,legitimate wife,05ae1
適,473,suitable,09069
滴,474,drip,06ef4
敵,475,enemy,06575
匕,476,spoon,05315
叱,477,scold,053f1
匂,478,aroma,05302
頃,479,about that time,09803
北,480,north,05317
背,481,stature,080cc
比,482,compare,06bd4
昆,483,descendants,06606
皆,484,all,07686
楷,485,block letters,06977
諧,486,orderliness,08ae7
混,487,mix,06df7
渇,488,thirst,06e07
謁,489,audience,08b01
褐,490,brown,08910
喝,491,hoarse,0559d
葛,492,kudzu,0845b
旨,493,delicious,065e8
脂,494,fat,08102
詣,495,visit a shrine,08a63
壱,496,I (one),058f1
毎,497,every,06bce
敏,498,cleverness,0654f
梅,499,plum,06885
海,500,sea,06d77
乞,501,beg,04e5e
乾,502,drought,04e7e
腹,503,abdomen,08179
複,504,duplicate,08907
欠,505,lack,06b20
吹,506,blow,05439
炊,507,cook,0708a
歌,508,song,06b4c
軟,509,soft,08edf
次,510,next,06b21
茨,511,briar,08328
資,512,assets,08cc7
姿,513,figure,059ff
諮,514,consult with,08aee
