kanji,heisig_number,keyword,unicode_code_point
盾,1997,shield,076fe
循,1998,sequential,05faa
派,1999,faction,06d3e
脈,2000,vein,08108
衆,2001,masses,08846
逓,2002,parcel post,09013
段,2003,grade,06bb5
鍛,2004,forge,0935b
后,2005,empress,0540e
幻,2006,phantasm,05e7b
司,2007,director,053f8
伺,2008,pay respects,04f3a
詞,2009,parts of speech,08a5e
飼,2010,domesticate,098fc
嗣,2011,heir,055e3
舟,2012,boat,0821f
舶,2013,liner,08236
航,2014,navigate,0822a
舷,2015,gunwale,08237
般,2016,carrier,0822c
盤,2017,tray,076e4
搬,2018,conveyor,0642c
船,2019,ship,08239
艦,2020,warship,08266
艇,2021,rowboat,08247
瓜,2022,melon,074dc
弧,2023,arc,05f27
孤,2024,orphan,05b64
