kanji,heisig_number,keyword,unicode_code_point
彫,1846,carve,05f6b
形,1847,shape,05f62
影,1848,shadow,05f71
杉,1849,cedar,06749
彩,1850,coloring,05f69
彰,1851,patent,05f70
彦,1852,lad,05f66
顔,1853,face,09854
須,1854,ought,09808
膨,1855,swell,081a8
参,1856,visit,053c2
惨,1857,wretched,060e8
修,1858,discipline,04fee
珍,1859,rare,073cd
診,1860,checkup,08a3a
文,1861,sentence,06587
対,1862,vis-a-vis,05bfe
紋,1863,family crest,07d0b
蚊,1864,mosquito,0868a
斑,1865,speckled,06591
斉,1866,adjusted,06589
剤,1867,dose,05264
済,1868,finish,06e08
斎,1869,purification,0658e
粛,1870,solemn,07c9b
塁,1871,bases,05841
楽,1872,music,0697d
薬,1873,medicine,085ac
率,1874,ratio,07387
渋,1875,astringent,06e0b
摂,1876,vicarious,06442
央,1877,center,0592e
英,1878,England,082f1
映,1879,reflect,06620
赤,1880,red,08d64
赦,1881,pardon,08d66
変,1882,unusual,05909
跡,1883,tracks,08de1
蛮,1884,barbarian,086ee
恋,1885,romance,0604b
湾,1886,gulf,06e7e
黄,1887,yellow,09ec4
横,1888,sideways,06a2a
把,1889,grasp,0628a
色,1890,color,08272
絶,1891,discontinue,07d76
艶,1892,glossy,08276
肥,1893,fertilizer,080a5
