kanji,heisig_number,keyword,unicode_code_point
牙,2053,tusk,07259
芽,2054,bud,082bd
邪,2055,wicked,090aa
雅,2056,gracious,096c5
釈,2057,interpretation,091c8
番,2058,turn,0756a
審,2059,hearing,05be9
翻,2060,flip,07ffb
藩,2061,clan,085e9
毛,2062,fur,06bdb
耗,2063,decrease,08017
尾,2064,tail,05c3e
宅,2065,home,05b85
託,2066,consign,08a17
為,2067,do,070ba
偽,2068,falsehood,0507d
畏,2069,apprehensive,0754f
長,2070,long,09577
張,2071,lengthen,05f35
帳,2072,notebook,05e33
脹,2073,dilate,08139
髪,2074,hair of the head,09aea
展,2075,unfold,05c55
喪,2076,miss,055aa
