kanji,heisig_number,keyword,unicode_code_point
阪,1390,Heights,0962a
阿,1391,Africa,0963f
際,1392,occasion,0969b
障,1393,hinder,0969c
隙,1394,chink,09699
随,1395,follow,0968f
陪,1396,auxiliary,0966a
陽,1397,sunshine,0967d
陳,1398,line up,09673
防,1399,ward off,09632
附,1400,affixed,09644
院,1401,Inst.,09662
陣,1402,camp,09663
隊,1403,regiment,0968a
墜,1404,crash,0589c
降,1405,descend,0964d
階,1406,story,0968e
陛,1407,highness,0965b
隣,1408,neighboring,096a3
隔,1409,isolate,09694
隠,1410,conceal,096a0
堕,1411,degenerate,05815
陥,1412,collapse,09665
穴,1413,hole,07a74
空,1414,empty,07a7a
控,1415,withdraw,063a7
突,1416,stab,07a81
究,1417,research,07a76
窒,1418,plug up,07a92
窃,1419,stealth,07a83
窟,1420,cavern,07a9f
窪,1421,depression,07aaa
搾,1422,squeeze,0643e
窯,1423,kiln,07aaf
窮,1424,hard up,07aae
探,1425,grope,063a2
深,1426,deep,06df1
丘,1427,hill,04e18
岳,1428,Point,05cb3
兵,1429,soldier,05175
浜,1430,seacoast,06d5c
