kanji,heisig_number,keyword,unicode_code_point
学,346,study,05b66
覚,347,memorize,0899a
栄,348,flourish,06804
書,349,write,066f8
津,350,haven,06d25
牧,351,breed,07267
攻,352,aggression,0653b
敗,353,failure,06557
枚,354,a sheet of,0679a
故,355,happenstance,06545
敬,356,awe,0656c
言,357,say,08a00
警,358,admonish,08b66
計,359,plot,08a08
詮,360,elucidate,08a6e
獄,361,prison,07344
訂,362,revise,08a02
訃,363,obituary,08a03
討,364,chastise,08a0e
訓,365,instruction,08a13
詔,366,imperial edict,08a54
詰,367,packed,08a70
話,368,tale,08a71
詠,369,recitation,08a60
詩,370,poem,08a69
語,371,word,08a9e
読,372,read,08aad
調,373,tune,08abf
談,374,discuss,08ac7
諾,375,consent,08afe
諭,376,rebuke,08aed
