kanji,heisig_number,keyword,unicode_code_point
矢,1305,dart,077e2
矯,1306,rectify,077ef
族,1307,tribe,065cf
知,1308,know,077e5
智,1309,wisdom,0667a
挨,1310,shove,06328
矛,1311,halberd,077db
柔,1312,tender,067d4
務,1313,task,052d9
霧,1314,fog,09727
班,1315,squad,073ed
帰,1316,homecoming,05e30
弓,1317,bow,05f13
引,1318,pull,05f15
弔,1319,condolences,05f14
弘,1320,vast,05f18
強,1321,strong,05f37
弥,1322,more and more,05f25
弱,1323,weak,05f31
溺,1324,drowning,06eba
沸,1325,seethe,06cb8
費,1326,expense,08cbb
第,1327,No.,07b2c
弟,1328,younger brother,05f1f
巧,1329,adroit,05de7
号,1330,nickname,053f7
朽,1331,decay,0673d
誇,1332,boast,08a87
顎,1333,chin,0984e
汚,1334,dirty,06c5a
与,1335,bestow,04e0e
写,1336,copy,05199
