kanji,heisig_number,keyword,unicode_code_point
木,207,tree,06728
林,208,grove,06797
森,209,forest,068ee
桂,210,Japanese Judas-tree,06842
柏,211,oak,067cf
枠,212,frame,067a0
梢,213,treetops,068a2
棚,214,shelf,068da
杏,215,apricot,0674f
桐,216,paulownia,06850
植,217,plant,0690d
椅,218,chair,06905
枯,219,wither,067af
朴,220,crude,06734
村,221,village,06751
相,222,inter-,076f8
机,223,desk,0673a
本,224,book,0672c
札,225,tag,0672d
暦,226,calendar,066a6
案,227,plan,06848
燥,228,parch,071e5
未,229,not yet,0672a
昧,230,obscure,06627
末,231,extremity,0672b
沫,232,splash,06cab
味,233,flavor,05473
妹,234,younger sister,059b9
朱,235,vermilion,06731
株,236,stocks,0682a
若,237,young,082e5
草,238,grass,08349
苦,239,suffering,082e6
苛,240,bullying,082db
寛,241,tolerant,05bdb
薄,242,dilute,08584
葉,243,leaf,08449
模,244,imitation,06a21
漠,245,vague,06f20
墓,246,grave,05893
暮,247,livelihood,066ae
膜,248,membrane,0819c
苗,249,seedling,082d7
