kanji,heisig_number,keyword,unicode_code_point
酉,1534,sign of the bird,09149
酒,1535,sake,09152
酌,1536,bartending,0914c
酎,1537,hooch,0914e
酵,1538,fermentation,09175
酷,1539,cruel,09177
酬,1540,repay,0916c
酪,1541,dairy products,0916a
酢,1542,vinegar,09162
酔,1543,drunk,09154
配,1544,distribute,0914d
酸,1545,acid,09178
猶,1546,waver,07336
尊,1547,revered,05c0a
豆,1548,beans,08c46
頭,1549,head,0982d
短,1550,short,077ed
豊,1551,bountiful,08c4a
鼓,1552,drum,09f13
喜,1553,rejoice,0559c
樹,1554,timber-trees,06a39
皿,1555,dish,076bf
血,1556,blood,08840
盆,1557,basin,076c6
盟,1558,alliance,076df
盗,1559,steal,076d7
温,1560,warm,06e29
蓋,1561,lid,084cb
監,1562,oversee,076e3
濫,1563,overflow,06feb
鑑,1564,specimen,09451
藍,1565,indigo,085cd
猛,1566,fierce,0731b
盛,1567,boom,076db
塩,1568,salt,05869
銀,1569,silver,09280
恨,1570,resentment,06068
根,1571,root,06839
即,1572,instant,05373
爵,1573,baron,07235
節,1574,node,07bc0
退,1575,retreat,09000
限,1576,limit,09650
眼,1577,eyeball,0773c
良,1578,good,0826f
朗,1579,melodious,06717
浪,1580,wandering,06d6a
娘,1581,daughter,05a18
食,1582,eat,098df
飯,1583,meal,098ef
飲,1584,drink,098f2
飢,1585,hungry,098e2
餓,1586,starve,09913
飾,1587,decorate,098fe
餌,1588,feed,0990c
館,1589,Bldg.,09928
餅,1590,mochi,09905
養,1591,foster,0990a
飽,1592,sated,098fd
既,1593,previously,065e2
概,1594,outline,06982
慨,1595,rue,06168
