kanji,heisig_number,keyword,unicode_code_point
止,396,stop,06b62
歩,397,walk,06b69
渉,398,ford,06e09
頻,399,repeatedly,0983b
肯,400,agreement,080af
企,401,undertake,04f01
歴,402,curriculum,06b74
武,403,warrior,06b66
賦,404,levy,08ce6
正,405,correct,06b63
証,406,evidence,08a3c
政,407,politics,0653f
定,408,determine,05b9a
錠,409,lock,09320
走,410,run,08d70
超,411,transcend,08d85
赴,412,proceed,08d74
越,413,surpass,08d8a
是,414,just so,0662f
題,415,topic,0984c
堤,416,dike,05824
建,417,build,05efa
鍵,418,key,09375
延,419,prolong,05ef6
誕,420,nativity,08a95
礎,421,cornerstone,0790e
婿,422,bridegroom,05a7f
