kanji,heisig_number,keyword,unicode_code_point
斤,1206,ax,065a4
析,1207,chop,06790
所,1208,place,06240
祈,1209,pray,07948
近,1210,near,08fd1
折,1211,fold,06298
哲,1212,philosophy,054f2
逝,1213,departed,0901d
誓,1214,vow,08a93
斬,1215,chop off,065ac
暫,1216,temporarily,066ab
漸,1217,steadily,06f38
断,1218,severance,065ad
質,1219,substance,08cea
斥,1220,reject,065a5
訴,1221,accusation,08a34
昨,1222,yesterday,06628
詐,1223,lie,08a50
作,1224,make,04f5c
雪,1225,snow,096ea
録,1226,record,09332
剥,1227,peel off,05265
尋,1228,inquire,05c0b
急,1229,hurry,06025
穏,1230,calm,07a4f
侵,1231,encroach,04fb5
浸,1232,immersed,06d78
寝,1233,lie down,05bdd
婦,1234,lady,05a66
掃,1235,sweep,06383
当,1236,hit,05f53
彙,1237,glossary,05f59
争,1238,contend,04e89
浄,1239,clean,06d44
事,1240,matter,04e8b
唐,1241,T'ang,05510
糖,1242,sugar,07cd6
康,1243,sane,05eb7
逮,1244,apprehend,0902e
伊,1245,Italy,04f0a
君,1246,old boy,0541b
群,1247,flock,07fa4
耐,1248,-proof,08010
需,1249,demand,09700
儒,1250,Confucian,05112
端,1251,edge,07aef
両,1252,both,04e21
満,1253,full,06e80
画,1254,brush-stroke,0753b
歯,1255,tooth,06b6f
曲,1256,bend,066f2
曹,1257,cadet,066f9
遭,1258,encounter,0906d
漕,1259,rowing,06f15
槽,1260,vat,069fd
斗,1261,Big Dipper,06597
料,1262,fee,06599
科,1263,department,079d1
図,1264,map,056f3
用,1265,utilize,07528
庸,1266,comfortable,05eb8
備,1267,equip,05099
