kanji,heisig_number,keyword,unicode_code_point
介,265,jammed in,04ecb
界,266,world,0754c
茶,267,tea,08336
脊,268,spinal column,0810a
合,269,fit,05408
塔,270,pagoda,05854
王,271,king,0738b
玉,272,jewel,07389
宝,273,treasure,05b9d
珠,274,pearl,073e0
現,275,present,073fe
玩,276,toy,073a9
狂,277,lunatic,072c2
旺,278,effulgent,065fa
皇,279,emperor,07687
呈,280,display,05448
全,281,whole,05168
栓,282,plug,06813
理,283,logic,07406
主,284,lord,04e3b
注,285,pour,06ce8
柱,286,pillar,067f1
金,287,gold,091d1
銑,288,pig iron,09291
鉢,289,bowl,09262
銅,290,copper,09285
釣,291,angling,091e3
針,292,needle,091dd
銘,293,inscription,09298
鎮,294,tranquillize,093ae
